#Table 5 by Reyes et al 2012 (https://arxiv.org/pdf/1110.4107)
#0 logMstar/Msun; 1 -2sigma; 2 -1sigma; 3 logM200c/Mstar; 4 +1sigma; 5 +2sigma

9.0 1.27 1.74 2.09 2.33 2.59
9.1 1.28 1.71 2.03 2.26 2.51
9.2 1.29 1.69 1.98 2.18 2.43
9.3 1.28 1.66 1.93 2.11 2.34
9.4 1.28 1.63 1.88 2.05 2.25
9.5 1.28 1.59 1.83 1.98 2.15
9.6 1.29 1.57 1.77 1.92 2.06
9.7 1.30 1.55 1.72 1.85 1.98
9.8 1.31 1.52 1.67 1.79 1.90
9.9 1.30 1.49 1.62 1.72 1.81
10.0 1.28 1.46 1.57 1.66 1.74
10.1 1.28 1.43 1.52 1.60 1.67
10.2 1.28 1.39 1.47 1.55 1.61
10.3 1.23 1.35 1.43 1.50 1.57
10.4 1.17 1.31 1.39 1.46 1.53
10.5 1.14 1.26 1.35 1.43 1.51
10.6 1.06 1.23 1.32 1.41 1.50
10.7 1.02 1.19 1.31 1.41 1.51
10.8 0.96 1.18 1.33 1.44 1.52
10.9 1.02 1.23 1.42 1.55 1.75
11.0 1.15 1.37 1.61 1.92 2.17
